Uuid,Answers,Members,Fully specified name:en,Fully specified name:pt,Short name:en,Short name:pt,Data class,Data type,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Units,Allow Decimal?,Display Precision,_version:1,_order:1000
aa11efcc-0b59-11ea-8d71-362b9e155667,,,Good_ana,Good_ana,Good,Boa,Misc,N/A,,,,,,,,,,,
aa11f206-0b59-11ea-8d71-362b9e155667,,,Risk_ana,Risk_ana,Risk,Risco,Misc,N/A,,,,,,,,,,,
aa11f36e-0b59-11ea-8d71-362b9e155667,,,Bad_ana,Bad_ana,Bad,Má,Misc,N/A,,,,,,,,,,,
aa11f49a-0b59-11ea-8d71-362b9e155667,Good_ana;Risk_ana;Bad_ana,,Adherence_ana,Adherence_ana,Adherence,Adesão,Misc,Coded,,,,,,,,,,,
77ff8b46-0b88-11ea-8d71-362b9e155667,,,NV_DA_Nauseas_Vomitos_dor _abdominal,NV_DA_Nauseas_Vomitos_dor _abdominal,"NV/DA - Náuseas, Vómitos/dor abdominal","NV/DA - Náuseas, Vómitos/dor abdominal",Misc,N/A,,,,,,,,,,,
77ff8e2a-0b88-11ea-8d71-362b9e155667,,,DIA_Diarreia,DIA_Diarreia,DIA- Diarreia,DIA- Diarreia,Misc,N/A,,,,,,,,,,,
77ff900a-0b88-11ea-8d71-362b9e155667,,,PSIQ_Neuropsiquiátrico_comportamento,PSIQ_Neuropsiquiátrico_comportamento,PSIQ - Neuropsiquiátrico/comportamento,PSIQ - Neuropsiquiátrico/comportamento,Misc,N/A,,,,,,,,,,,
77ff915e-0b88-11ea-8d71-362b9e155667,,,NEUP_Neuropatia_perferica,NEUP_Neuropatia_perferica,NEUP - Neuropatia perférica,NEUP - Neuropatia perférica,Misc,N/A,,,,,,,,,,,
77ff929e-0b88-11ea-8d71-362b9e155667,,,EC_Erupcao_cutanea_Dermatite,EC_Erupcao_cutanea_Dermatite,EC - Erupção cutânea / Dermatite,EC - Erupção cutânea / Dermatite,Misc,N/A,,,,,,,,,,,
77ff93ca-0b88-11ea-8d71-362b9e155667,,,HG_Hiperglicemia,HG_Hiperglicemia,HG - Hiperglicémia,HG - Hiperglicémia,Misc,N/A,,,,,,,,,,,
77ff96f4-0b88-11ea-8d71-362b9e155667,,,DL _Dislipidemia,DL _Dislipidemia,DL - Dislipidémia,DL - Dislipidémia,Misc,N/A,,,,,,,,,,,
77ff9834-0b88-11ea-8d71-362b9e155667,,,LDP_Lipodistrofia,LDP_Lipodistrofia,LDP - Lipodistrofia,LDP - Lipodistrofia,Misc,N/A,,,,,,,,,,,
77ff9956-0b88-11ea-8d71-362b9e155667,NV_DA_Nauseas_Vomitos_dor _abdominal;HG_Hiperglicemia;DL _Dislipidemia;LDP_Lipodistrofia;DIA_Diarreia;PSIQ_Neuropsiquiátrico_comportamento;NEUP_Neuropatia_perferica;EC_Erupcao_cutanea_Dermatite,,Geralmente_não Severas_ana_type,Geralmente_não Severas_ana_type,Geralmente não Severas,Geralmente não Severas,Misc,Coded,,,,,,,,,,,
381a357a-0b61-11ea-9a9f-362b9e155667,,,Geralmente_não Severas_ana,Geralmente_não Severas_ana,Geralmente não Severas,Geralmente não Severas,Misc,N/A,,,,,,,,,,,
efb6c094-0b62-11ea-8d71-362b9e155667,,,CIT_Citopenia,CIT_Citopenia,CIT - Citopenia,CIT - Citopenia,Misc,N/A,,,,,,,,,,,
efb6c396-0b62-11ea-8d71-362b9e155667,,,PAN _Pancreatite,PAN _Pancreatite,PAN - Pancreatite,PAN - Pancreatite,Misc,N/A,,,,,,,,,,,
efb6c6ac-0b62-11ea-8d71-362b9e155667,,,NFT_Nefrotoxicidade,NFT_Nefrotoxicidade,NFT - Nefrotoxicidade,NFT - Nefrotoxicidade,Misc,N/A,,,,,,,,,,,
a141e6dc-0b67-11ea-8d71-362b9e155667,CIT_Citopenia;PAN _Pancreatite;NFT_Nefrotoxicidade,,Severas_ana_type,Severas_ana_type,Severas,Severas,Misc,Coded,,,,,,,,,,,
381a36ce-0b61-11ea-9a9f-362b9e155667,,,Severas_ana,Severas_ana,Severas,Severas,Misc,N/A,,,,,,,,,,,
2d54510c-0b89-11ea-8d71-362b9e155667,,,HEP_Hepatite,HEP_Hepatite,HEP - Hepatite,HEP - Hepatite,Misc,N/A,,,,,,,,,,,
2d54565c-0b89-11ea-8d71-362b9e155667,,,SSJ_Sindroma_de_Stevens_Jonhson,SSJ_Sindroma_de_Stevens_Jonhson,SSJ - Sindroma de Stevens - Jonhson,SSJ - Sindroma de Stevens - Jonhson,Misc,N/A,,,,,,,,,,,
2d5457ce-0b89-11ea-8d71-362b9e155667,,,HIP_Hipersensibilidade_a_ABC_RAL,HIP_Hipersensibilidade_a_ABC_RAL,HIP - Hipersensibilidade a ABC/RAL,HIP - Hipersensibilidade a ABC/RAL,Misc,N/A,,,,,,,,,,,
2d5458fa-0b89-11ea-8d71-362b9e155667,,,ACL_Acidose_láctica,ACL_Acidose_láctica,ACL - Acidose láctica,ACL - Acidose láctica,Misc,N/A,,,,,,,,,,,
2d545a30-0b89-11ea-8d71-362b9e155667,,,ESH_Esteatose_hepática_c_hipertactemia,ESH_Esteatose_hepática_c_hipertactemia,ESH - Esteatose hepática c/ hipertactemia,ESH - Esteatose hepática c/ hipertactemia,Misc,N/A,,,,,,,,,,,
2d545b5c-0b89-11ea-8d71-362b9e155667,HEP_Hepatite;SSJ_Sindroma_de_Stevens_Jonhson;HIP_Hipersensibilidade_a_ABC_RAL;ACL_Acidose_láctica;ESH_Esteatose_hepática_c_hipertactemia ,,Com_risco_de_Vida_type,Com_risco_de_Vida_type,Com risco de Vida,Com risco de Vida,Misc,Coded,,,,,,,,,,,
381a37fa-0b61-11ea-9a9f-362b9e155667,,,Com_risco_de_Vida,Com_risco_de_Vida,Com risco de Vida,Com risco de Vida,Misc,N/A,,,,,,,,,,,
381a3930-0b61-11ea-9a9f-362b9e155667,Geralmente_não Severas_ana;Severas_ana;Com_risco_de_Vida,,Side_Effects_ana,Side_Effects_ana,Side Effects,Efeitos Secudnários,Misc,Coded,,,,,,,,,,,
c27f45d8-77ce-11e9-8f9e-2a86e4085a59,,,Patient Main Complaints,Patient Main Complaints,Major Complaints,Queixas Principais,Misc,Text,,,,,,,,,,,
c27f4722-77ce-11e9-8f9e-2a86e4085a59,,,History of Current Illness,History of Current Illness,History of Current Illness,História de Doença Actual,Misc,Text,,,,,,,,,,,
c27f486c-77ce-11e9-8f9e-2a86e4085a59,,Patient Main Complaints;History of Current Illness;Adherence_ana;Side_Effects_ana;Geralmente_não Severas_ana_type;Severas_ana_type;Com_risco_de_Vida_type ,Current Disease History,Current Disease History,Current Disease History,História da Doença Actual,Misc,N/A,,,,,,,,,,,
c27f4b5a-77ce-11e9-8f9e-2a86e4085a59,,,Last Menstruation Date,Last Menstruation Date,Last Menstruation Date,Data da última menstruação,Misc,Date,,,,,,,,,,,
c27f9ca4-77ce-11e9-8f9e-2a86e4085a59,,,Pregnancy_Yes,Pregnancy_Yes,Yes,Sim,Misc,N/A,,,,,,,,,,,
c27f1ca4-77ce-11e9-8f9e-2a86e4085a59,,,Pregnancy_No,Pregnancy_No,No,Não,Misc,N/A,,,,,,,,,,,
c27f4ca4-77ce-11e9-8f9e-2a86e4085a59,Pregnancy_Yes;Pregnancy_No,,Pregnancy_Yes_No,Pregnancy_Yes_No,Pregnancy,Grávida,Misc,Coded,,,,,,,,,,,
c27f565e-77ce-11e9-8f9e-2a86e4085a59,,,Probable delivery date,Probable delivery date,Probable delivery date,Data provável de parto,Misc,Date,,,,,,,,,,,
c27f579e-77ce-11e9-8f9e-2a86e4085a59,,,Date of Delivery,Date of Delivery,Date of Delivery,Data de Parto,Misc,Date,,,,,,,,,,,
f0a783db-6029-4636-91e8-b4763abbc764,,,Number of Alive Babies Born,Number of Alive Babies Born,Number of Alive Babies Born,Número de nados vivos,Misc,Numeric,,,,,,,,,,,
f0c5fef2-785d-11e9-8f9e-2a86e4085a59,,,Number of Still Babies Born,Number of Still Babies Born,Number of Still Babies Born,Número de nados mortos,Misc,Numeric,,,,,,,,,,,
42b1f2a0-8085-11e9-bc42-526af7764f64,,,Breastfeeding_ANA,Breastfeeding_ANA,Breastfeeding,Lactante,Misc,Boolean,,,,,,,,,,,
3fd53fd2-7870-11e9-8f9e-2a86e4085a59,,,Pain during sexual intercourse,Pain during sexual intercourse,Pain during sexual intercourse,Dor durante a relação sexual,Misc,Boolean,,,,,,,,,,,
3fd54176-7870-11e9-8f9e-2a86e4085a59,,,Vaginal bleeding after sexual intercourse,Vaginal bleeding after sexual intercourse,Vaginal bleeding after sexual intercourse,Sangramento vaginal após a relação sexual,Misc,Boolean,,,,,,,,,,,
89e39ab0-7870-11e9-8f9e-2a86e4085a59,,,Vaginal bleeding between menstruation_NA,Vaginal bleeding between menstruation_NA,Vaginal bleeding between menstruation,Sangramento vaginal entre as menstruações,Misc,Boolean,,,,,,,,,,,
89e39c0e-7870-11e9-8f9e-2a86e4085a59,,,Pain below the belly_NA,Pain below the belly_NA,Pain below the belly,Dor no baixo ventre,Misc,Boolean,,,,,,,,,,,
89e39d4e-7870-11e9-8f9e-2a86e4085a59,,,Referred to for cervical cancer screening,Referred to for cervical cancer screening,Referred to for cervical cancer screening,Referida para rastreio do cancro do Colo Uterino,Misc,Boolean,,,,,,,,,,,
1ecd46c6-788a-11e9-8f9e-2a86e4085a59,,Last Menstruation Date;Pregnancy_Yes_No;Probable delivery date;Date of Delivery;Number of Alive Babies Born;Number of Still Babies Born;Breastfeeding_ANA;Pain during sexual intercourse;Vaginal bleeding after sexual intercourse;Vaginal bleeding between menstruation_NA;Pain below the belly_NA;Referred to for cervical cancer screening,Gynecology/Obstetrics,Gynecology/Obstetrics,Gynecology/Obstetrics,Ginecologia/Obstetrícia,Misc,N/A,,,,,,,,,,,
c27f436c-77ce-11e9-8f9e-2a86e4085a59,,Current Disease History;Gynecology/Obstetrics,Group IV-Anamneses,Group IV-Anamneses,Anamneses,Anamnese,Misc,N/A,,,,,,,,,,,
