Mocambique,Zambezia,Cidade De Quelimane,Posto Administrativo Municipal No 1,Unidade Popular,,,,,,,,,
Mocambique,Zambezia,Cidade De Quelimane,Posto Administrativo Municipal No 1,Sinacurra,,,,,,,,,
Mocambique,Zambezia,Cidade De Quelimane,Posto Administrativo Municipal No 1,Aeroporto,,,,,,,,,
Mocambique,Zambezia,Cidade De Quelimane,Posto Administrativo Municipal No 1,Nhangombe,,,,,,,,,
Mocambique,Zambezia,Cidade De Quelimane,Posto Administrativo Municipal No 1,Bairro Da Liberdade,,,,,,,,,
Mocambique,Zambezia,Cidade De Quelimane,Posto Administrativo Municipal No 1,Chuabo,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Mutala,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Malua,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Vila,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Caiaia,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Chapala,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Ecole,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Nimala,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Nivava,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Novanana,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Molocue Sede,Nacuaca,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Nauela,Mohiua,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Nauela,Cololo,,,,,,,,,
Mocambique,Zambezia,Alto Molocue,Nauela,Nauela Sede,,,,,,,,,
Mocambique,Zambezia,Chinde,Chinde Sede,Chinde Sede,,,,,,,,,
Mocambique,Zambezia,Chinde,Chinde Sede,Matilde,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,25 De Setembro,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,Manginge,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,Nzama,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,Samora Machel,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,Rovuma,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,Luabo Sede,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,Chissamba,,,,,,,,,
Mocambique,Zambezia,Chinde,Luabo,Mucuandaia,,,,,,,,,
Mocambique,Zambezia,Chinde,Micaune,Arijuane,,,,,,,,,
Mocambique,Zambezia,Chinde,Micaune,Magaza,,,,,,,,,
Mocambique,Zambezia,Chinde,Micaune,Mitange,,,,,,,,,
Mocambique,Zambezia,Chinde,Micaune,Nhamatanga,,,,,,,,,
Mocambique,Zambezia,Chinde,Micaune,Micaune-Sede,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Nanhope,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Khayane,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Moneia,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Naheche,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Uape,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Pury,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Intxotxa,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Gile Sede,,,,,,,,,
Mocambique,Zambezia,Gile,Gile Sede,Mamala,,,,,,,,,
Mocambique,Zambezia,Gile,Alto Ligonha,Namirrego,,,,,,,,,
Mocambique,Zambezia,Gile,Alto Ligonha,Miraly,,,,,,,,,
Mocambique,Zambezia,Gile,Alto Ligonha,Alto Ligonha,,,,,,,,,
Mocambique,Zambezia,Gile,Alto Ligonha,Muiane,,,,,,,,,
Mocambique,Zambezia,Gile,Alto Ligonha,Namihal,,,,,,,,,
Mocambique,Zambezia,Gurue,Gurue Sede,Muagiua,,,,,,,,,
Mocambique,Zambezia,Gurue,Gurue Sede,Muxumua,,,,,,,,,
Mocambique,Zambezia,Gurue,Gurue Sede,Invinha,,,,,,,,,
Mocambique,Zambezia,Gurue,Gurue Sede,Mucunha,,,,,,,,,
Mocambique,Zambezia,Gurue,Gurue Sede,Murrimo,,,,,,,,,
Mocambique,Zambezia,Gurue,Gurue Sede,Gurue Cidade,,,,,,,,,
Mocambique,Zambezia,Gurue,Lioma,Mualijane,,,,,,,,,
Mocambique,Zambezia,Gurue,Lioma,Nintulo,,,,,,,,,
Mocambique,Zambezia,Gurue,Lioma,Tetete,,,,,,,,,
Mocambique,Zambezia,Gurue,Lioma,Lioma Sede,,,,,,,,,
Mocambique,Zambezia,Gurue,Lioma,Magige,,,,,,,,,
Mocambique,Zambezia,Gurue,Mepuagiua,Mepuagiua Sede,,,,,,,,,
Mocambique,Zambezia,Gurue,Mepuagiua,Vehiua,,,,,,,,,
Mocambique,Zambezia,Gurue,Mepuagiua,Mugaveia,,,,,,,,,
Mocambique,Zambezia,Gurue,Mepuagiua,Nipive,,,,,,,,,
Mocambique,Zambezia,Gurue,Mepuagiua,Nicorropale,,,,,,,,,
Mocambique,Zambezia,Gurue,Mepuagiua,Incize,,,,,,,,,
Mocambique,Zambezia,Ile,Ile Sede,Nipiode,,,,,,,,,
Mocambique,Zambezia,Ile,Ile Sede,Namanda,,,,,,,,,
Mocambique,Zambezia,Ile,Ile Sede,Phalane,,,,,,,,,
Mocambique,Zambezia,Ile,Ile Sede,Ile Sede,,,,,,,,,
Mocambique,Zambezia,Ile,Ile Sede,Nampevo,,,,,,,,,
Mocambique,Zambezia,Ile,Ile Sede,Mugulama,,,,,,,,,
